Name,geo_lat,geo_lon,population,year
Горно-Алтайск,51.9581028,85.9603235,62861,1830
Алейск,52.4922513,82.7793606,28528,1913
Барнаул,53.3479968,83.7798064,635585,1730
Белокуриха,51.996152,84.9839604,15072,1846
Бийск,52.5393864,85.2138453,203826,1709
Горняк,50.9979622,81.4643358,13040,1942
Заринск,53.7063476,84.9315081,47035,1748
Змеиногорск,51.1581094,82.1872547,10569,1736
Камень-на-Оби,53.7913974,81.3545053,41787,1751
Новоалтайск,53.4119759,83.9311069,73134,1736
Рубцовск,51.5012067,81.2078695,146386,1892
Славгород,52.999463,78.6459232,30370,1910
Яровое,52.9252146,78.5729775,18085,1943
Белогорск,50.9213415,128.4739471,68220,1860
Благовещенск,50.290659,127.527198,214397,1856
Завитинск,50.1064111,129.4391813,11481,1906
Зея,53.7340088,127.265787,25042,1879
Райчихинск,49.7941615,129.4112492,20499,1932
Свободный,51.3614103,128.1219729,58594,1912
Сковородино,53.9871095,123.9437205,9561,1908
Тында,55.1546441,124.7468904,35574,1907
Циолковский,51.762481,128.1219846,6208,1961
Шимановск,52.0051886,127.7005458,19815,1910
Архангельск,64.5394289,40.5169606,348716,1584
Котлас,61.2528972,46.633242,60562,1617
Мирный,62.7645265,40.3360076,30259,1957
Новодвинск,64.4136851,40.8208143,40612,1936
Няндома,61.6654674,40.2062947,22354,1898
Северодвинск,64.5625385,39.8180934,192265,1936
Баймак,52.5912896,58.3110998,17710,1850
Белорецк,53.9676488,58.4100419,68804,1762
Межгорье,54.2397689,57.9614547,17353,1979
Сибай,52.7204651,58.6663783,62732,1925
Учалы,54.3067375,59.4125461,37771,1750
Бабушкин,51.7112755,105.8673219,4542,1760
Гусиноозерск,51.2865048,106.5230319,23280,1939
Закаменск,50.372713,103.286699,11249,1934
Кяхта,50.346543,106.4533516,20013,1727
Северобайкальск,55.635614,109.3361505,23673,1974
Улан-Удэ,51.8335853,107.5842223,431922,1666
Вытегра,61.0063465,36.4495137,10490,1710
Красавино,60.9612823,46.4814116,7003,1848
Сокол,59.4758605,40.1114187,38454,1615
Харовск,59.9479423,40.2000298,10078,1903
Череповец,59.1269212,37.9090497,312311,1777
Биробиджан,48.7946446,132.9217207,75419,1915
Облучье,49.0189345,131.0540102,9379,1911
Балей,51.5823759,116.6379549,12536,1736
Борзя,50.3876058,116.5234779,31376,1899
Краснокаменск,50.0929703,118.0323936,55668,1967
Могоча,53.7361398,119.7660867,13228,1910
Нерчинск,51.9594977,116.5852383,14976,1653
Петровск-Забайкальский,51.2748592,108.846681,18555,1789
Сретенск,52.2461454,117.7117842,6850,1689
Хилок,51.3634856,110.4590898,11530,1895
Чита,52.0340142,113.4994,323964,1653
Шилка,51.8497035,116.0334461,13947,1897
Алзамай,55.5551233,98.6643699,6751,1899
Ангарск,52.544879,103.888543,233765,1948
Байкальск,51.5230393,104.1487532,13589,1961
Бирюсинск,55.9609167,97.8205348,8981,1967
Бодайбо,57.8468636,114.1866287,15331,1864
Братск,56.1513108,101.6340035,246348,1631
Вихоревка,56.1208145,101.1702926,22528,1957
Железногорск-Илимский,56.5847888,104.114275,26134,1948
Зима,53.920693,102.0491772,32522,1743
Иркутск,52.2864036,104.2807466,587225,1661
Киренск,57.7756595,108.1109412,12652,1630
Нижнеудинск,54.8968931,99.0314056,37056,1648
Саянск,54.1107238,102.18015,40786,1970
Свирск,53.0842668,103.3364093,13649,1800
Слюдянка,51.6563983,103.7187545,18542,1899
Тайшет,55.9405334,98.0030145,35481,1897
Тулун,54.557162,100.5780603,44603,1735
Усолье-Сибирское,52.7565808,103.6388109,83364,1669
Усть-Илимск,57.9430504,102.7415734,86591,1966
Усть-Кут,56.7928178,105.7757343,45061,1631
Черемхово,53.1369095,103.0901268,52650,1772
Шелехов,52.2102538,104.0973294,47960,1953
Вилючинск,52.9302415,158.4057632,22905,1968
Елизово,53.1830375,158.3883548,39548,1848
Петропавловск-Камчатский,53.036908,158.6559254,179526,1740
Костомукша,64.5889398,30.6016832,28433,1977
Лахденпохья,61.518881,30.1996116,7818,1600
Медвежьегорск,62.9127626,34.4568489,15536,1916
Петрозаводск,61.7891264,34.3596434,263540,1703
Питкяранта,61.5757191,31.4640557,11484,1800
Сегежа,63.7437572,34.3126982,29660,1914
Анжеро-Судженск,56.0786281,86.0201278,76669,1896
Белово,54.4220968,86.3037373,76752,1726
Березовский,55.6693513,86.2744459,47292,1965
Гурьевск,54.2859263,85.9475985,24816,1816
Калтан,53.5210919,87.2771636,21893,1946
Кемерово,55.3910651,86.0467781,532884,1918
Киселевск,54.0059999,86.6366116,98382,1917
Ленинск-Кузнецкий,54.6674492,86.1797324,101666,1763
Мариинск,56.2127383,87.7454924,40522,1698
Междуреченск,53.6865289,88.0702754,101995,1946
Мыски,53.7125695,87.8055646,43029,1826
Новокузнецк,53.794315,87.2142745,547885,1618
Осинники,53.5988055,87.3371272,45997,1926
Полысаево,54.6055,86.2809208,27624,1989
Прокопьевск,53.8604265,86.7183577,210150,1650
Салаир,54.2351735,85.8030733,8263,1626
Тайга,56.0622131,85.6207182,25330,1896
Таштагол,52.759313,87.8476546,23114,1939
Топки,55.2764707,85.6152619,28642,1914
